리뷰,속성,감성,속성키워드_단어
좋어요 만족해요 많이퍼세요,기타,긍정,기타
잘뜯기는 화장지 는 아니지만 사용감은 좋아요,기타,긍정,기타
가격대비 만족합니다,가격/가성비,긍정,가격
좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,기타,긍정,기타
아직미사용중이지먼가격이,가격/가성비,중립,가격
아주 만족스럽습니다,기타,긍정,기타
최고예요 역시 좋아요,기타,긍정,기타
전에 쓰던 휴지보다 도톰해서 마음에 들었어요. 가성비 좋은 제품이에요.,기능/성능,긍정,도톰
전에 쓰던 휴지보다 도톰해서 마음에 들었어요. 가성비 좋은 제품이에요.,가격/가성비,긍정,가성비
항상구매하는 제품입니다,기타,중립,기타
아직 사용하지는 않았지만 일단 든든하네요.,기타,중립,기타
저렴한 가격에 잘 구매했습니다.,가격/가성비,중립,가격
저렴한 가격에 잘 구매했습니다.,가격/가성비,중립,저렴
잘받았습니다. 저렴하게 잘 구매했습니다.,가격/가성비,중립,저렴
저렴하게 잘샀어요 많이파세요,가격/가성비,중립,저렴
주문 하루만에 왔습니다. 가격 대비 상품 괜찮습니다.,가격/가성비,긍정,가격
제품이 너무 좋습니다.,기타,긍정,기타
가격도 적당하고 사용감도 좋아요,가격/가성비,긍정,가격
너무 좋아요 한동안 잘 쓰겠어요,기타,긍정,기타
잘쓸께요. 감사합니니다,기타,긍정,기타
두툼해서 좋아요 잘 쓰고 있어요~,기타,긍정,기타
처음 구매해봤어요. 먼지도 적게 나고 짱짱해서 좋네요.,기타,긍정,기타
보기만 해도 든든합니다 빠른배송에 감사합니다,배송,긍정,빠른
아주 좋아요 만족합니다,기타,긍정,기타
배송빠르고 좋아요 강추,배송,긍정,빠르
두번째구입이네요 번창하세요,기타,중립,기타
부드럽고 좋아요~~싸게 구매해서 옿아요,사용감,긍정,부드
가성비 좋아요~~ 빠른배송 무난해요,가격/가성비,긍정,가성비
가성비 좋아요~~ 빠른배송 무난해요,배송,긍정,빠른
아직 미 사용이라.. 잘 모르겠지만.. 좋겠죠?,기타,긍정,기타
가정에서 사용하기 좋아요..,기타,긍정,기타
괜찮습니다 잘쓸껭요,기타,긍정,기타
가성비 굳입니다 아주,가격/가성비,중립,가성비
좋은가격에 구입 잘사용하겠습니다 수고하세요,가격/가성비,긍정,가격
매번 쓰지만 최고입니다.. 짱짱,기타,긍정,기타
항상 좋아서 재주문해서 쓰고있어요,기타,긍정,기타
자주 이용하고 있어요,기타,중립,기타
카페에서 계속사용중 입니다,기타,중립,기타
"가격대비,,,, 얇습니다.",사용감,중립,얇
"가격대비,,,, 얇습니다.",가격/가성비,중립,가격
가격에 비해 정말 좋아요 휴지도 가격이 많이 올라서 힘든데 그래도 이가격이면 저럼하네요,가격/가성비,긍정,가격
넉넉한 구성에 든든하네요. 잘 쓸게요.,기타,중립,기타
상품이 좋고 사용하기가 편해요 다음에도 또 구매하고 싶습니다,기타,긍정,기타
헬키브랜드만 썼는대 적립금때문에 홈쇼핑노예가 된거 같아서 바꾸왔는댕 다시 돌아가야할꺼 같아요 ㅠ 너무까끌해요,기타,중립,기타
좋아요 좋아요 ㅎㅎ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ,기타,긍정,기타
가성비 좋아서 계속 쓰고 있어요,가격/가성비,긍정,가성비
가격도 저렴하고 먼지도없고 너무좋습니다,가격/가성비,긍정,가격
가격도 저렴하고 먼지도없고 너무좋습니다,가격/가성비,긍정,저렴
배송 빠르고 저렴해서 좋은거 같아요,가격/가성비,긍정,저렴
배송 빠르고 저렴해서 좋은거 같아요,배송,긍정,빠르
촘촘하니 좋아요~~,기타,긍정,기타
아직사용전이나 좋을거같아요 잘쓸께요,기타,긍정,기타
저렴이 화장지중 끝까지 깔끔하게끝나는게 별로없는데 깨끗하게심지만 남아서 너무좋아요 잘쓸께요,가격/가성비,긍정,저렴
가격 대비 품질이 괜찮습니다.,가격/가성비,긍정,가격
잘받았습니다 1년은 쓰겠어요,기타,중립,기타
항상 이몽하는 제품입니다,기타,중립,기타
좀 거칠긴하지만 저렴해서 막쓰기 좋아요,사용감,긍정,거칠
좀 거칠긴하지만 저렴해서 막쓰기 좋아요,가격/가성비,긍정,저렴
배송이 빠르고 좋아요,배송,긍정,빠르
가성비가 좋은거 같아요 자주 이용할께요,가격/가성비,긍정,가성비
너무너무 좋습니다.,기타,긍정,기타
썼던제품인데 괜찮아서 다시 시켰어요,기타,긍정,기타
가성비 제품입니다 잘쓸께요,가격/가성비,중립,가성비
잘 받았어요 배송빠르고 좋아요,배송,긍정,빠르
자주 사용하지만 저렴하고 좋아요,가격/가성비,긍정,저렴
항상 구매하고 있어요~~ 잘 사용하고 있습니다,기타,중립,기타
오 만족합니다. 오래쓸듯 합니다!!,기타,긍정,기타
먼지도 적고 양은 좋아요,기타,긍정,기타
잘받았습니다. 많이파세요~,기타,중립,기타
늘사용하고있어요 없으면안되요,기타,중립,기타
부드럽고 촉감이 좋아서 개운합니다,사용감,긍정,부드
부드럽고 촉감이 좋아서 개운합니다,사용감,긍정,촉감
배송도 빠르고 좋아요ㅎㅎ,배송,긍정,빠르
저럼하고 질도 좋아요,기타,긍정,기타
부드럽고 양많고 보풀없어 좋아요,사용감,긍정,부드
먼지도별로없고맘에들어요,기타,중립,기타
간단한 청소용으로 쓰려고 구매. 저렴해서 푠히 쓸거 같음. 잘 받았습니다.,가격/가성비,중립,저렴
배송빠르고 안전하게잘받앗어요 잘쓸게요,배송,긍정,빠르
두께도 좋고 사용하기 좋아요,기타,긍정,기타
넉넉하게시켜서 부모님과 같이씁니다,기타,중립,기타
품질이 좋아서 친정에 매번 보내 드리고있어요~,기타,긍정,기타
화장지 만족합니다 좋습니다,기타,긍정,기타
가성비좋은거같아요 ㅎㅎㅎ,가격/가성비,긍정,가성비
그냥그냥 쓸만합니다. 이 가격때의 화장지 정도의 품질입니다.,가격/가성비,중립,가격
늘주문해서 사용하는거예요 배송도 빠르고 가격도 좋아요,가격/가성비,긍정,가격
늘주문해서 사용하는거예요 배송도 빠르고 가격도 좋아요,배송,긍정,빠르
저렴하게구입할 수있어서좋아요.잘쓸게요,가격/가성비,긍정,저렴
이상없이 잘 왔어요.,기타,중립,기타
감사합니다 잘 받았습니다 꾸준히 구매해서 사용하고 있어요,기타,긍정,기타
항상 쓰는건데 배송도 빠르고 가성비 좋아요!,가격/가성비,긍정,가성비
항상 쓰는건데 배송도 빠르고 가성비 좋아요!,배송,긍정,빠르
배송 무지 빠르네요 생각 보다 가볍네요,배송,긍정,빠르
항상 잘 쓰고있습니다,기타,중립,기타
세 묶음을 한번에 팔아서 질이 낮은것은 아닌지 의심을 좀 했는데 사용결과 전에 사용하던 제품과 차이가 없고 좋았습니다. 앞으로 재구매 의사도 있습니다.,기타,긍정,기타
한번 써보겠습니다 .,기타,중립,기타
부드럽고 좋아요. 저렴하게 잘 샀어요.,사용감,긍정,부드
부드럽고 좋아요. 저렴하게 잘 샀어요.,가격/가성비,긍정,저렴
질이 좋아요 가격도 좋아요,가격/가성비,긍정,가격
배송빠르구요 포장도 꼼꼼해요 먼지가 많이 나질않네요 제품 질이 좋아요,배송,긍정,빠르
평이좋아서 구매해봤는데 부드럽다는 댓글이 많았는데 제가 느끼기에는 거칠어요 양이 많아서일단 사용해봅니다,사용감,긍정,거칠
평이좋아서 구매해봤는데 부드럽다는 댓글이 많았는데 제가 느끼기에는 거칠어요 양이 많아서일단 사용해봅니다,사용감,긍정,부드
가격에비해 질이 아주좋아요 앞으로도계속해사용할것같아여,가격/가성비,긍정,가격
배송도 빠르고 휴지도 두툼하니 좋아요,배송,긍정,빠르
가성비 정말좋아요 총알배송까지,가격/가성비,긍정,가성비
생각한 갓보다 상품의 질이 좋은거 같아요,기타,긍정,기타
친구집들이 선물로 줬어요 맘에들어하네요,기타,중립,기타
가성대비 너무 좋아요 토톰하고 부드럽습니다,사용감,긍정,부드
헬로키티 쓰다가 롤앤롤 상품평 좋아서 구매했는데 ㅠㅠ 재생휴지 같아요. 재구매는 안함,기타,긍정,기타
항상 잘 쓰고있습니다.,기타,중립,기타
저렴한 가격에 배송도 빨라서 좋아요,가격/가성비,긍정,가격
저렴한 가격에 배송도 빨라서 좋아요,가격/가성비,긍정,저렴
회사에서 여러번 구매해서 쓰고 잇어여 생각보다 질도 괜찮고 잘 사용하고 잇습니다 무엇보다 가성비 너무 좋아요,가격/가성비,긍정,가성비
먼지 안나고 참 좋아요. 시댁으로 하나 더 주문하려고요.,기타,긍정,기타
배송빠르네요 먼지 덜나고 두툼해서 좋네요,배송,긍정,빠르
가격 대비 제질이 아주 좋아요,가격/가성비,긍정,가격
잘 받았네요 배송빠르구요 많이 파세요,배송,긍정,빠르
후기가많길래 좋을거같아요!,기타,긍정,기타
잘사용하고 있습니다,기타,중립,기타
가격대비만족합니다 두툼해서좋아요,가격/가성비,긍정,가격
가성비좋아요 앞으로 가게서 쓰는 휴지이걸로 정했습니다,가격/가성비,긍정,가성비
휴지가 부드럽고 좋네요 잘 사용할게요,사용감,긍정,부드
도톰하니 좋군요ㅋㅋ,기능/성능,긍정,도톰
배송 정말빠르네요~,배송,긍정,빠르
배송빠르고 사용해본 결과 품질 만족합니다!!,배송,긍정,빠르
좋은 가격에 잘샀습니다. 감사합니다. 배송도 빠르네요.,가격/가성비,긍정,가격
좋은 가격에 잘샀습니다. 감사합니다. 배송도 빠르네요.,배송,긍정,빠르
두꺼워도 습관적으로 많이 뜯어 쓰는편이라 가격대비 좋은거 같아요,가격/가성비,긍정,가격
만족합니다~ 좋아요~,기타,긍정,기타
아주좋아요 좋아요 빨라요,기타,긍정,기타
배송도 빠르고 흡수도 좋아요,기능/성능,긍정,흡수
배송도 빠르고 흡수도 좋아요,배송,긍정,빠르
넉넉하니 잘 쓰겠습니다,기타,중립,기타
가성비가 좋았습니다,가격/가성비,긍정,가성비
좋아요 항상 쓰는 제품이예요,기타,긍정,기타
저렴하게 잘 구매한덧 같네여,가격/가성비,중립,저렴
가격도 적당해서 잘 쓰고 있습니다.,가격/가성비,중립,가격
부드럽고 느낌도 괜찮아요.,사용감,긍정,부드
배송 빠르고 잘왔어요~ 양도 넉넉하니 좋을듯,배송,긍정,빠르
배송정말빠르네여. 저렴하게 잘샀어요 감사합니다 ~~,가격/가성비,긍정,저렴
배송정말빠르네여. 저렴하게 잘샀어요 감사합니다 ~~,배송,긍정,빠르
빠른 배송 감사 합니다 많이 파세요,배송,긍정,빠른
배송빠르고 품질이 좋아요,배송,긍정,빠르
아주 좋아요 추천합니다!! 만족해요~,기타,긍정,기타
화장지가 없어 주문했습니다. 아직 사용전이라 잘 사용하겠습니다.,기타,중립,기타
배송빠르고 좋아요!!,배송,긍정,빠르
만족합니다다음에또주문할게요,기타,긍정,기타
질 좋은 휴지 싸게 사서 잘 쓰고 있어요!,기타,긍정,기타
싸고 대량으로 구매할수있어서 좋습니다,기타,긍정,기타
잘받앗습니다 ~~ 잘쓸께요,기타,중립,기타
배송빠르고 질도 최고입니다~,배송,긍정,빠르
가성비 좋아요 잘 쓰고 있어요,가격/가성비,긍정,가성비
배송도 빠르고 비닐 포장인데 비닐 손상됭 곳도 없이 잘 도착했네요.,배송,긍정,도착
배송도 빠르고 비닐 포장인데 비닐 손상됭 곳도 없이 잘 도착했네요.,배송,긍정,빠르
휴지떨어진다싶음 다시시켜쓰는중,기타,중립,기타
가성비 최고 좋아요,가격/가성비,긍정,가성비
배송도 빨리오고 좋와용,배송,긍정,빨리
대용량으로 잘샀어요!! 집에 둘 공간만 있다면 가격도 저렴하고 좋아요lsquo,가격/가성비,긍정,가격
대용량으로 잘샀어요!! 집에 둘 공간만 있다면 가격도 저렴하고 좋아요lsquo,가격/가성비,긍정,저렴
안전하게 잘 왔어요,기타,중립,기타
좋네요 많이파세요.,기타,긍정,기타
가성비 좋고 다음에도 또 구매할게요.,가격/가성비,긍정,가성비
개인정보 유출하고 검은머리 외국인 내세워 뻔뻔한곳보다 낫네요. 네이버포인트도 주니 계속 네이버로 구매하겠어요,기타,중립,기타
배송빠르고가성비좋아요,가격/가성비,긍정,가성비
배송빠르고가성비좋아요,배송,긍정,빠르
가격 합리적이고 좋아요.,가격/가성비,긍정,가격
가격 합리적이고 좋아요.,가격/가성비,긍정,합리
매번 잘사용하고있어요!,기타,중립,기타
아주좋습니다너무좋습니다,기타,긍정,기타
저렴해서 사용하기 좋네요,가격/가성비,긍정,저렴
잘받았습니다 감사합니다,기타,긍정,기타
잘 사용하고있어요. ㅎㅎ,기타,중립,기타
질도 좋고 잘 사용하고 있습니다,기타,긍정,기타
잘받았습니다. 또구매할게요,기타,중립,기타
좋아요 너무좋아요 너무좋아요,기타,긍정,기타
먼지안나고 두껍고 좋아요,사용감,긍정,두껍
후기가 좋아서 샀는데 정말 낚였나 싶을 만큼 실망스럽습니다.아무리 싸다고 해도 이렇게 거친 화장지는 처음 써봅니다.후기 쓰신분들이 모두 알바는 아닐텐데 이런 거친 화장지를 왜 부드럽고 좋다고 쓰셨는지..정말 청소용으로만 딱입니다.,사용감,긍정,부드
후기가 좋아서 샀는데 정말 낚였나 싶을 만큼 실망스럽습니다.아무리 싸다고 해도 이렇게 거친 화장지는 처음 써봅니다.후기 쓰신분들이 모두 알바는 아닐텐데 이런 거친 화장지를 왜 부드럽고 좋다고 쓰셨는지..정말 청소용으로만 딱입니다.,사용감,부정,부드
